ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0;-0.5;False;False;98.0986;54.7023;-0.0883;-0.0756;55.398;-115.2009;359.6638;0.1509;214.6087;305.8747;0.0001;0.2213;-0.0029;0.2046;0.1741;-0.0001;0.0003;-0.0001;268122;71.99019;inf;3709.01;98.3244;53.8219;0.8367;0.6728;54.5262;-115.3757;352.164;352.6499;212.0974;310.2857;0.3425;359.6549;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, 0.0, 0.1)_(0.5, 0.6, -0.6, 0.3)_0.9884796_System.String[];HandLeft_(0.2, 0.2, 0.2)_(-0.6, -0.2, 0.7, -0.1)_1.011463_System.String[];HandRight_(0.4, 0.0, 0.1)_(-0.3, -0.6, -0.6, 0.5)_0.9884796_System.String[];HandRight_(0.4, 0.2, 0.1)_(0.0, -0.7, -0.2, 0.7)_1.011463_System.String[];0.4214;-0.0107;0.0181;98.309;54.3705;1.1091;1.0035;55.0736;-115.486;1.8415;346.3207;212.3503;308.2361;3.3054;0.4164
0.0;-0.5;False;False;98.0987;54.7022;-0.0789;-0.0671;55.3981;-115.2009;359.6937;0.1748;214.6092;305.8748;0.0;0.2198;-0.0037;0.2384;0.2252;-0.0006;0.0008;-0.0004;268125;71.99278;inf;3709.05;98.3243;53.8217;0.8453;0.6803;54.526;-115.3756;352.1897;352.6704;212.0991;310.2858;0.3414;359.6553;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, 0.0, 0.1)_(0.5, 0.6, -0.6, 0.3)_0.9884796_System.String[];HandLeft_(0.2, 0.2, 0.2)_(-0.6, -0.2, 0.8, -0.1)_1.011463_System.String[];HandRight_(0.4, 0.0, 0.1)_(-0.3, -0.6, -0.6, 0.5)_0.9884796_System.String[];HandRight_(0.4, 0.2, 0.1)_(-0.1, -0.7, -0.2, 0.7)_1.011463_System.String[];0.4629;-0.0124;0.0181;98.3074;54.3662;1.1169;1.0152;55.0729;-115.4816;2.501;345.4563;212.8845;308.6669;3.1052;0.0455
0.0;-0.5;False;False;98.0988;54.7022;-0.0688;-0.0573;55.3983;-115.201;359.7324;0.2061;214.6096;305.8749;0.0;0.2177;-0.0041;0.2419;0.2395;-0.0010;0.0010;-0.0007;268128;71.99289;inf;3709.09;98.324;53.8213;0.8549;0.6896;54.5256;-115.3755;352.2261;352.6998;212.0999;310.2859;0.3398;359.6556;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, 0.0, 0.1)_(0.4, 0.6, -0.6, 0.3)_0.9884796_System.String[];HandLeft_(0.2, 0.2, 0.1)_(-0.6, -0.3, 0.7, -0.2)_1.011463_System.String[];HandRight_(0.4, 0.0, 0.1)_(-0.3, -0.6, -0.6, 0.5)_0.9884796_System.String[];HandRight_(0.4, 0.2, 0.1)_(-0.1, -0.7, -0.2, 0.7)_1.011463_System.String[];0.5046;-0.0143;0.0181;98.3055;54.3613;1.1258;1.029;55.072;-115.4765;3.145;344.5272;213.5197;309.0702;2.9197;359.7024
0.0;-0.5;False;False;98.099;54.7022;-0.0591;-0.0475;55.3985;-115.2011;359.7744;0.2411;214.6083;305.875;0.0;0.2155;-0.0042;0.2275;0.2316;-0.0010;0.0011;-0.0007;268131;71.99471;inf;3709.14;98.3238;53.821;0.8644;0.6992;54.5253;-115.3752;352.2676;352.7341;212.0989;310.2859;0.3379;359.656;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, 0.0, 0.1)_(0.4, 0.6, -0.6, 0.3)_0.9884796_System.String[];HandLeft_(0.2, 0.2, 0.1)_(-0.6, -0.3, 0.7, -0.2)_1.011463_System.String[];HandRight_(0.4, 0.0, 0.1)_(-0.3, -0.6, -0.6, 0.5)_0.9884796_System.String[];HandRight_(0.4, 0.2, 0.1)_(-0.1, -0.7, -0.2, 0.7)_1.011463_System.String[];0.5464;-0.0161;0.0181;98.3034;54.3569;1.1347;1.0423;55.071;-115.4717;3.79;343.7608;214.2192;309.3723;2.7929;359.4783
0.0;-0.5;False;False;98.0991;54.7022;-0.0502;-0.0384;55.3987;-115.2012;359.8161;0.2765;214.608;305.8752;0.0;0.2134;-0.0040;0.2036;0.2112;-0.0015;0.0010;-0.0010;268134;71.99539;inf;3709.18;98.3235;53.8206;0.8732;0.7082;54.5249;-115.375;352.3098;352.7698;212.0985;310.286;0.336;359.6567;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, 0.0, 0.1)_(0.4, 0.6, -0.6, 0.3)_0.9884796_System.String[];HandLeft_(0.2, 0.2, 0.1)_(-0.7, -0.2, 0.7, 0.1)_1.011463_System.String[];HandRight_(0.4, 0.0, 0.1)_(-0.3, -0.5, -0.6, 0.5)_0.9884796_System.String[];HandRight_(0.4, 0.2, 0.1)_(-0.1, -0.7, -0.3, 0.7)_1.011463_System.String[];0.5879;-0.0172;0.0181;98.3014;54.3522;1.1428;1.0552;55.0702;-115.4663;4.3886;343.0642;214.9277;309.6178;2.7092;359.3329
0.0;-0.5;False;False;98.0992;54.7022;-0.0426;-0.0303;55.3989;-115.2013;359.8551;0.3102;214.6071;305.8753;0.0;0.2116;-0.0036;0.1760;0.1850;0.0004;0.0009;0.0002;268137;72.00096;inf;3709.22;98.3233;53.8203;0.8808;0.7163;54.5245;-115.3748;352.3497;352.8042;212.0984;310.2861;0.3343;359.6574;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, 0.0, 0.1)_(0.4, 0.6, -0.6, 0.3)_0.9884796_System.String[];HandLeft_(0.2, 0.2, 0.1)_(-0.6, -0.1, 0.8, 0.1)_1.011463_System.String[];HandRight_(0.4, 0.0, 0.1)_(-0.3, -0.5, -0.6, 0.5)_0.9884796_System.String[];HandRight_(0.4, 0.2, 0.1)_(-0.1, -0.7, -0.3, 0.7)_1.011463_System.String[];0.6296;-0.0174;0.0181;98.2995;54.3478;1.1502;1.0664;55.0696;-115.4613;4.8739;342.4978;215.5668;309.8028;2.6492;359.2268
0.0;-0.5;False;False;98.0993;54.7022;-0.0361;-0.0235;55.3991;-115.2014;359.8894;0.3404;214.6067;305.8754;0.0;0.2101;-0.0030;0.1344;0.1435;-0.0011;0.0006;-0.0008;268140;71.99745;inf;3709.26;98.3231;53.8199;0.8873;0.7232;54.5243;-115.3747;352.3857;352.8357;212.0978;310.2861;0.3327;359.6582;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, 0.0, 0.1)_(0.4, 0.7, -0.6, 0.3)_0.9884796_System.String[];HandLeft_(0.2, 0.2, 0.1)_(-0.6, -0.1, 0.8, 0.0)_1.011463_System.String[];HandRight_(0.4, 0.0, 0.1)_(-0.3, -0.5, -0.6, 0.5)_0.9884796_System.String[];HandRight_(0.4, 0.2, 0.1)_(-0.1, -0.7, -0.3, 0.7)_1.011463_System.String[];0.6714;-0.0174;0.0181;98.2981;54.3436;1.1565;1.0764;55.0687;-115.456;5.2103;342.0313;216.0152;309.959;2.5865;359.1343
0.0;-0.5;False;False;98.0994;54.7022;-0.0308;-0.0178;55.3992;-115.2014;359.9184;0.3665;214.6067;305.8755;0.0;0.2088;-0.0026;0.1093;0.1177;-0.0009;0.0003;-0.0006;268143;72.00439;inf;3709.3;98.3229;53.8197;0.8927;0.729;54.524;-115.3745;352.4164;352.8633;212.0982;310.2861;0.3313;359.659;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, 0.0, 0.1)_(0.4, 0.7, -0.5, 0.3)_0.9884796_System.String[];HandLeft_(0.2, 0.2, 0.1)_(-0.6, -0.1, 0.8, 0.0)_1.011463_System.String[];HandRight_(0.4, 0.0, 0.1)_(-0.3, -0.5, -0.6, 0.5)_0.9884796_System.String[];HandRight_(0.4, 0.2, 0.1)_(-0.1, -0.7, -0.3, 0.7)_1.011463_System.String[];0.7129;-0.0174;0.0181;98.297;54.3396;1.1615;1.0847;55.068;-115.4507;5.4162;341.6743;216.1998;310.1415;2.5224;358.9973
0.0;-0.5;False;False;98.0995;54.7022;-0.0266;-0.0132;55.3993;-115.2015;359.9424;0.3881;214.6059;305.8755;0.0;0.2078;-0.0022;0.0873;0.0947;0.0000;0.0001;-0.0001;268146;71.99699;inf;3709.34;98.3228;53.8194;0.897;0.7337;54.5238;-115.3744;352.442;352.8864;212.0971;310.2861;0.3302;359.6597;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, 0.0, 0.1)_(0.4, 0.7, -0.5, 0.3)_0.9884796_System.String[];HandLeft_(0.2, 0.2, 0.1)_(-0.6, -0.2, 0.8, -0.1)_1.011463_System.String[];HandRight_(0.4, 0.0, 0.1)_(-0.3, -0.6, -0.6, 0.5)_0.9884796_System.String[];HandRight_(0.4, 0.2, 0.1)_(-0.1, -0.7, -0.3, 0.7)_1.011463_System.String[];0.7546;-0.0174;0.0181;98.2964;54.3357;1.1658;1.092;55.0676;-115.4453;5.4254;341.3252;216.1086;310.3908;2.4981;358.8065
0.0;-0.5;False;False;98.0996;54.7022;-0.0232;-0.0096;55.3994;-115.2016;359.9613;0.4056;214.6054;305.8756;0.0;0.207;-0.0019;0.0686;0.0749;-0.0009;0.0000;-0.0006;268149;71.98783;inf;3709.39;98.3227;53.8192;0.9004;0.7374;54.5236;-115.3743;352.4627;352.9053;212.0968;310.2861;0.3293;359.6602;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, 0.0, 0.1)_(0.4, 0.7, -0.5, 0.3)_0.9884796_System.String[];HandLeft_(0.2, 0.2, 0.1)_(-0.5, -0.3, 0.8, -0.2)_1.011463_System.String[];HandRight_(0.4, 0.0, 0.1)_(-0.3, -0.6, -0.6, 0.5)_0.9884796_System.String[];HandRight_(0.4, 0.2, 0.1)_(-0.1, -0.7, -0.3, 0.7)_1.011463_System.String[];0.7964;-0.0174;0.0181;98.2962;54.3321;1.1696;1.0979;55.0671;-115.4402;5.2816;340.9829;215.8329;310.661;2.5136;358.6119
0.0;-0.5;False;False;98.0996;54.7022;-0.0207;-0.0068;55.3995;-115.2016;359.976;0.4191;214.6057;305.8756;0.0;0.2063;-0.0016;0.0530;0.0583;-0.0009;-0.0002;-0.0006;268152;71.98779;inf;3709.43;98.3226;53.8191;0.903;0.7403;54.5235;-115.3743;352.4786;352.9201;212.0972;310.286;0.3286;359.6607;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, 0.0, 0.1)_(0.4, 0.7, -0.5, 0.3)_0.9884796_System.String[];HandLeft_(0.2, 0.2, 0.1)_(-0.5, -0.3, 0.8, -0.2)_1.011463_System.String[];HandRight_(0.4, 0.0, 0.1)_(-0.3, -0.6, -0.6, 0.5)_0.9884796_System.String[];HandRight_(0.4, 0.2, 0.1)_(-0.1, -0.7, -0.3, 0.7)_1.011463_System.String[];0.8379;-0.0174;0.0185;98.2965;54.3283;1.1724;1.1033;55.0667;-115.435;5.1132;340.6009;215.3993;311.0124;2.5442;358.4083
0.0;-0.5;False;False;98.0996;54.7022;-0.0187;-0.0046;55.3995;-115.2017;359.987;0.4292;214.6058;305.8756;0.0;0.2058;-0.0013;0.0404;0.0447;0.0000;-0.0004;0.0000;268155;71.9938;inf;3709.47;98.3225;53.8189;0.9051;0.7426;54.5234;-115.3742;352.4908;352.9313;212.0973;310.286;0.328;359.6609;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, 0.0, 0.1)_(0.4, 0.7, -0.5, 0.3)_0.9884796_System.String[];HandLeft_(0.2, 0.2, 0.2)_(-0.6, -0.3, 0.8, 0.0)_1.011463_System.String[];HandRight_(0.4, 0.0, 0.1)_(-0.2, -0.6, -0.6, 0.5)_0.9884796_System.String[];HandRight_(0.4, 0.2, 0.1)_(-0.1, -0.7, -0.3, 0.7)_1.011463_System.String[];0.8796;-0.0176;0.0205;98.2971;54.3248;1.1746;1.1079;55.0663;-115.4297;4.949;340.2253;214.8876;311.3744;2.5663;358.2438
0.0;-0.496;False;False;98.0997;54.7022;-0.0172;-0.003;55.3996;-115.2017;-0.0051;0.4366;214.6057;305.8756;0.0;0.2053;-0.0011;0.0302;0.0337;0.0000;-0.0005;0.0000;268158;71.99612;inf;3709.51;98.3225;53.8188;0.9066;0.7443;54.5233;-115.3742;352.4997;352.9396;212.0978;310.286;0.3276;359.6611;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, 0.0, 0.1)_(0.4, 0.7, -0.6, 0.3)_0.9884796_System.String[];HandLeft_(0.2, 0.2, 0.2)_(-0.6, -0.3, 0.8, 0.0)_1.011463_System.String[];HandRight_(0.4, 0.0, 0.1)_(-0.2, -0.6, -0.6, 0.5)_0.9884796_System.String[];HandRight_(0.4, 0.2, 0.1)_(-0.1, -0.7, -0.3, 0.7)_1.011463_System.String[];0.9214;-0.0192;0.0237;98.2978;54.3213;1.1766;1.1118;55.066;-115.4246;4.751;339.9297;214.3424;311.7513;2.5758;358.1214
0.0;-0.492;False;False;98.0997;54.7021;-0.0162;-0.0018;55.3996;-115.2018;0.0002;0.4416;214.6055;305.8756;0.0;0.205;-0.0010;0.0223;0.0250;0.0001;-0.0006;0.0001;268161;71.99836;inf;3709.55;98.3224;53.8188;0.9077;0.7456;54.5233;-115.3742;352.5058;352.9453;212.097;310.286;0.3274;359.6612;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, 0.0, 0.1)_(0.4, 0.7, -0.6, 0.3)_0.9884796_System.String[];HandLeft_(0.2, 0.1, 0.1)_(-0.5, -0.4, 0.7, -0.2)_1.011463_System.String[];HandRight_(0.4, 0.0, 0.1)_(-0.2, -0.6, -0.6, 0.5)_0.9884796_System.String[];HandRight_(0.4, 0.2, 0.1)_(-0.1, -0.7, -0.2, 0.7)_1.011463_System.String[];0.9629;-0.0219;0.0267;98.2986;54.318;1.1781;1.1152;55.0654;-115.4198;4.572;339.6627;213.8436;312.0896;2.6014;358.0631
0.0;-0.4801;False;False;98.0997;54.7021;-0.0154;-0.0009;55.3996;-115.2018;0.0037;0.4449;214.6049;305.8756;0.0;0.2047;-0.0008;0.0162;0.0183;-0.0002;-0.0006;-0.0001;268164;71.99747;inf;3709.59;98.3224;53.8187;0.9086;0.7465;54.5233;-115.3742;352.5099;352.9491;212.0965;310.286;0.3272;359.6612;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.1, 0.1)_(0.4, 0.7, -0.6, 0.3)_0.9884796_System.String[];HandLeft_(0.2, 0.1, 0.2)_(-0.5, -0.4, 0.7, -0.2)_1.011463_System.String[];HandRight_(0.4, 0.0, 0.1)_(-0.3, -0.6, -0.6, 0.5)_0.9884796_System.String[];HandRight_(0.4, 0.2, 0.1)_(-0.1, -0.7, -0.3, 0.7)_1.011463_System.String[];1.0046;-0.0262;0.0277;98.2991;54.3149;1.1791;1.1181;55.0647;-115.4149;4.4719;339.3301;213.4036;312.3293;2.6595;358.1521
0.0;-0.4603;False;False;98.0997;54.7021;-0.0148;-0.0003;55.3997;-115.2018;0.0057;0.4467;214.6057;305.8756;0.0;0.2045;-0.0007;0.0115;0.0131;-0.0004;-0.0007;-0.0003;268167;71.99986;inf;3709.64;98.3224;53.8187;0.9091;0.7472;54.5232;-115.3742;352.5123;352.9514;212.0974;310.286;0.3271;359.6612;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.1, 0.1)_(0.4, 0.7, -0.6, 0.3)_0.9884796_System.String[];HandLeft_(0.2, 0.2, 0.2)_(-0.5, -0.4, 0.7, -0.2)_1.011463_System.String[];HandRight_(0.4, 0.0, 0.1)_(-0.2, -0.6, -0.6, 0.5)_0.9884796_System.String[];HandRight_(0.4, 0.2, 0.1)_(-0.1, -0.7, -0.3, 0.7)_1.011463_System.String[];1.0464;-0.0316;0.0275;98.2999;54.3119;1.1799;1.1208;55.064;-115.4101;4.47;338.9615;213.0258;312.4754;2.7079;358.365
